ids
[Cl2]_6718
Sn_5152
Sn_5322
Sn_23655
Sn_84899
Sn_84900
Sn_94566
Sn_129522
Sn_170132
Mg_5242
Mg_34689
Ta_5179
Ta_73297
Ta_92381
Ta_92463
Ta_127812
Ta1.2Sn1.8_7350
Ta3Sn_7351
Mg0.974Sn0.026_7118
Mg0.9765Sn0.0235_7118
Mg2Sn_7119
Mg0.15Sn0.85_28001
Mg9Sn5_39790
Mg3Sn1.67_39790
SnCl2_6779
SnCl4_7664
SnCl2_73582
MgCl2_9072
MgCl2_12684
TaCl5_14293
TaCl4_16515
Ta2Cl5_84204
Al_13
AlCl3_12682
Al0.9975Sn0.0025_6600
Al0.977Sn0.023_6600
Al0.5Sn0.5_39382
Mg0.05Al0.95_4961
Mg0.08Al0.92_4961
Mg0.07Al0.93_4961
Mg0.13Al0.87_4961
Mg0.16Al0.84_4961
Mg0.17Al0.83_4961
Mg0.088Al0.912_4961
Mg0.37Al0.63_4962
Mg28Al45_4962
Mg85.6Al60.5_4962
Mg54.5Al91.5_4962
Mg17Al12_4963
Mg23Al30_4964
Mg0.9Al0.1_5781
Mg0.77Al0.23_5781
Mg0.976Al0.024_5781
Mg0.93Al0.07_5781
Mg0.89Al0.11_5781
Mg0.96Al0.04_5781
Mg0.975Al0.025_5781
Mg0.927Al0.073_5781
Mg1.2Al1.8_24951
Mg1.2Al1.8_24952
MgAl2_39330
Mg112.8Al180.2_74034
MgAl2Cl8_12683
Zn_4596
Mg0.97Zn0.03_5545
Mg0.972Zn0.028_5545
Mg0.9715Zn0.0285_5545
Mg0.98Zn0.02_5545
Mg0.997Zn0.003_5545
Mg0.985Zn0.015_5545
Mg21Zn25_5546
Mg4Zn7_5547
Mg51Zn20_5548
MgZn2_5549
Mg2Zn11_7570
ZnCl2_13293
ZnCl2_13313
ZnCl2_44897
ZnCl2_44898
Zn0.15Sn0.85_39383
S_5352
S_5353
S_61285
S_73424
S_84245
S_84247
S_84254
S_84255
S_84256
S_84257
S_84258
S_84259
S_84260
S_84270
S_84274
S_84282
S_84336
S_84354
S_84418
S_84895
S_84911
S_127603
S_168145
MgS_19719
SnS2_9047
SnS1.8_9047
Sn2S3_12482
SnS_12489
SnS_12492
SnS2_38664
SnS_38763
Sn0.9S1.8_39463
SnS2_39463
Sn0.93S1.83_39463
SnS2_39493
SnS_41953
SnS_83259
Ta2.4S4_11787
Ta3S2_11789
Ta3S1.8_11789
Ta6S_11790
TaS2_11792
TaS2_24919
TaS3_24920
TaS_25824
Ta1.01S2_28598
TaS2_28599
Ta1.08S2_28599
Ta2S_39568
TaS2_84126
Ta6S_84163
TaS2_85165
